sentence,true_label
"In addition, the total-energy calculation for pyrite structure has also been performed, which indicates its mechanical and energetic stability but much lower bulk modulus compared to the fluorite structure",contradiction
"We determined its extremely high Young's and shear moduli of 1691 and 1113 GPa, respectively, surpassing those of diamond by 1.5 and 2 times.",entailment
"Again, the predicted zero-pressure lattice parameter 5.364 Å agrees with the corresponding experimental value 5.394(2) Å within 0.5%, whereas the calculated zero-pressure bulk modulus 176.8 GPa is 8% lower than the experimental value.",entailment
The results demonstrate that CoFeB is a promising material for the development of superconducting spintronic devices.,contradiction
"It is this property which entices automobile manufacturers to replace denser materials, not only steels, cast irons and copper base alloys but even aluminium alloys by magnesium based alloys.",contradiction
"With a C,C bond force constant equal to that between adjacent carbon atoms in graphite, 7.08 mdyn/Å, a bulk modulus of 903 GPa is obtained.",entailment
"The experimental values for the zero-pressure bulk modulus of CeO2 and PrO2 are 220(9) and 187(8) GPa, respectively.",entailment
"High-pressure X-ray diffraction data on an NaH to 54 GPa at room temperature show the isothermal bulk modulus B0 with an NaCl-type structure is 19.40±2.00 GPa, with a pressure derivative B0′ of 4.40±0.50.",entailment
"The bulk modulus (B0) and the atomic volume at atmospheric pressure (V0) of the sh phase were estimated to be 84.1 GPa and 14.2 Å3, with a fixed value of the pressure derivative of the bulk modulus (B0) equal to 4.",entailment
The bulk modulus of SmFeAs(O0.93F0.07) was calculated (K0 = 103 GPa) using a 3rd order Birch–Murnaghan equation of state and resulted in quite good agreement with theoretical calculations reported for LaFeAsO.,entailment
The band-gap has been calculated within the MBJLDA approximation.,contradiction
The values obtained all exceed the bulk modulus (441 GPa) of diamond.,entailment
"Using empirical formula developed by ourselves, bulk modulus of ZnCO2 was found approximately 12–26 GPa(see table 12).",entailment
Polarization versus electric field (P–E) studies demonstrate that the value of polarization decreases from 0.73 to 0.37 μC/cm2 as Mn concentration increases from x = 0 to 0.07.,contradiction
For the specific volume of 59.65 ± 0.07 Å3 the average measured isothermal bulk modulus of scandia from the present study and recent literature results is 188 ± 10 GPa.,entailment
"The bulk modulus and shear modulus of C16 are 365 GPa, 313 GPa, and those of C24 are 363 GPa, 308 GPa, which are larger than T-C9, oP8 carbon, C96 and tP40 carbon.",entailment
"The shear modulus (224 GPa) and bulk modulus (269 GPa) of oP72 carbon are both slightly larger than those of C64, Y carbon, TY carbon, and T carbon, and the shear modulus of oP72 carbon is slightly greater than that of Pnma-BN.",entailment
"In this paper, semiempirical formula for the bulk modulus (B in GPa) of perovskite structured solids are elaborated in terms of lattice constant (a in Å) and product of ionic charges (ZaZbZc ) of the bonding.",contradiction
"By means of depth-sensing nanoindentation experiments, we directly evaluate the Young's modulus of bulk single crystals of tin selenide (25.3 GPa), as well as their hardness (0.82 GPa).",contradiction
It has a low bulk modulus and Debye temperature despite of its non-layered structure.,contradiction
"The bulk modulus of m-BN is 329 GPa, which is smaller than that of Pbca-BN and c-BN, but the Young's modulus and shear modulus of m-BN are greater than that of Pbca-BN.",entailment
"Based on the compression test data, the Young’s modulus is obtained as a function of temperature, and the Young’s modulus at 1292 °C estimated from the compression test data is about 8.0 GPa, only one fifty-first of the value at 20 °C.",contradiction
The bulk modulus of nanowires (NWs) and its temperature dependence were determined by a simple and convenient method based on temperature-dependent X-ray diffraction (XRD) measurement.,contradiction
"The shear modulus G, Young's modulus E, and bulk modulus B of BCN2 and CN are 253 and 310 GPa; 448 and 719 GPa; and 186 and 323 GPa with GGA functional, respectively.",entailment
"The first pressure derivative of the isothermal bulk modulus increases with the increase of temperature when P &lt;100GPa, and then gradually keep a constant when P &gt;100GPa.",contradiction
"The second pressure derivative of isothermal bulk modulus decreases with the increase of temperature when P &lt;40GPa, and then keep a constant when P &gt;40GPa. ",contradiction
"The starting hexagonal structure transforms to an intermediate phase and I4/mmm structure above 10 GPa, and then converts into the I4/mmm structure completely above 47.2 GPa.",contradiction
"Under these conditions, the bulk modulus (K0) was estimated to be 6.5(4) GPa, with clear amorphization of the material at pressures beyond 0.34 GP.",entailment
"For small-molecule fluids, such as isopropanol and methanol/ethanol/water mixtures, HKUST-1 exhibits two distinct regimes of compression: at lower pressures the apparent bulk modulus is exceptionally high (K0 = 117.6(1) GPa), while at higher pressure compression occurs at a more reasonably expected rate, with bulk moduli between 25.9(5) and 41.9(4) GPa.",entailment
"Conversely, when a non-penetrating pressure transmitting fluid (in this case, FluorinertTM FC-70) is used, the observed bulk modulus is 29.5(7) GPa throughout the hydrostatic limit of the fluid.",entailment
"Mattesini, Soler, and Ynduráin computed the bulk modulus and Young's modulus of MOF-5 in 2006, predicting that the material is readily compressible and soft, with a Young's modulus similar to that of Oak wood (14.8 GPa.",contradiction
"As the defect density increases from ∼3% to ∼26% of linkers missing, the bulk modulus decreases as expected; however, at higher defect densities (∼28% missing linkers), the bulk modulus of UiO-66 appears to increase (Fig. 7).",contradiction
"This study reports two more new iron-sulfide compounds (Fe2S and Fe3S) formed at pressures greater than 21 GPa, and provides the crystal structure and bulk modulus of Fe3S.",contradiction
A least-squares fit of the third order Birch-Murnaghan equation of state to the compression data yielded bulk modulus K0 = 170 ± 8 GPa and its pressure derivative K0′ = 2.6 ± 0.5 (Fig. 2).,entailment
"If the pressure derivative K0′ is fixed to 4, the calculated bulk modulus is K0 = 150 ± 2 GPa.",entailment
The SrN2 was compressed up to 43.2 GPa.,contradiction
The XRD patterns are demonstrated in Fig. 3.,contradiction
"Nine diffraction peaks of SrN2, which belong to (101), (002), (110), (112), (200), (103), (211), (202), and (004) planes, were observed.",contradiction
"The diffraction peaks of (200) disappeared at 6.4 GPa, and (211) and (202) disappeared at 10.0 GPa.",contradiction
The strongest diffraction peak of (101) finally disappeared at 12.0 GPa.,contradiction
The disappearance of the diffraction peaks is temporarily assigned as a possible phase transition.,contradiction
The high-pressure phase is stable up to 43.2 GPa in this study.,contradiction
The peaks of HP-SrN2 indexing results led to an orthorhombic structure.,contradiction
"However, it is difficult to determine the structure of the phase of HP-SrN2 because the diffraction diagrams are significantly broadened and low intensity at higher pressure.",contradiction
It is worth noting that the detection of the changes of the diazenide anions positions is an inherent challenge for synchrotron XRD measurements owing to their greatly low scattering cross-section.,contradiction
"Therefore, a symmetry breaking due to the changes of diazenide anions orientation cannot be observed in synchrotron X-ray diffraction.",contradiction
The similar phenomenon in SrO2 was observed.33 The influence of oxide atoms in SrO2 was entirely ignored on the XRD patterns owing to their low scattering cross section.,contradiction
We temporally ascribe the phase transition of SrN2 to the rotation of diazenide units and the rearrangement of Sr ions according to the rotation character of diazenide units in CaN2 (ref. 19) under high pressure.,contradiction
"As pressure is released to 0.6 GPa, the tetragonal structure recovered from the high-pressure orthorhombic structure, demonstrating a reversible phase transition of SrN2.",contradiction
"Compared to the starting conditions, the figure of the back-transformed SrN2 shows differences in intensities and is broadened, which are presumably caused by preferred orientation and grain size effects, respectively.",contradiction
The bulk modulus of SrN2 was fitted to the Birch–Murnaghan equation of state (EOS)where V0 is the unit cell volume at ambient pressure and V is the volume at the pressure of P.,contradiction
B0 is the bulk modulus at zero pressure and image file d0ra00789g-t3.tif is the pressure derivative of B0.,contradiction
The data measured below 11.2 GPa were used to yield the bulk modulus because the phase transitions occur at 12.0 GPa.,contradiction
The bulk modulus of B0 = 132.4 (10.2) GPa of SrN2 is conforming to the Birch–Murnaghan EOS.,entailment
"The bulk modulus of SrN2 is close to that of CaN2 (113.2 GPa),21 which can be interpreted by the fact that SrN2 and CaN2 are isostructural at ambient conditions.",entailment
The experimental pressure evolutions of the unit cell volume of SrN2 are plotted in Fig. 5.,contradiction
"The bulk modulus of SrN2 was theoretically predicted to be 96.08 GPa and 65 GPa using pseudo-atomic calculations with the local density approximation (LDA) and the generalized gradient approximation Perdew–Burke–Ernzerhof (GGA-PBE), and the ab initio calculations with the GGA-PBE, respectively, by Zhang et al.20 and Wessel et al.,15 in which the pseudo-atomic calculations results are closer to the experimental results.",entailment
The different calculation methods employed different empirical or theoretical approximations are suitable for different materials.,contradiction
"Compare our experimental results with reported calculations results, the pseudo-atomic calculations with the LDA and the GGA-PBE were better fitted diazenides than the ab initio calculations with the GGA-PBE.",contradiction
The bulk modulus of SrN2 is two times larger than its corresponding metal azide Sr(N3)2 (123.7 GPa of SrN2 vs. 49.1 GPa of Sr(N3)2 (ref. 34)).,entailment
"The nitrogen bonds are formed as double bonding in both diazenides anions (N[double bond, length as m-dash]N)2− and azides anions (N[double bond, length as m-dash]N[double bond, length as m-dash]N)−.11 The previous studies proved that the N[double bond, length as m-dash]N plays a crucial role in the compressibility of both Sr(N3)2 and SrN2.",contradiction
"The N[double bond, length as m-dash]N bond distance of 1.226 (3) Å in SrN2 is longer than that of 1.184 (2) Å in Sr(N3)2 leading to weaker N[double bond, length as m-dash]N bonds in SrN2.",contradiction
"The bulk modulus of SrN2 is larger than that of Sr(N3)2, which contradict to the longer N[double bond, length as m-dash]N bond of SrN2.",contradiction
We thus infer the interaction between Sr and N in SrN2 is much stronger than that in Sr(N3)2.,contradiction
"To obtain deeper insight into the nature of chemical bonding between Sr and N in SrN2 and Sr(N3)2, we performed crystal orbital overlap population (COHP) analysis.",contradiction
"COHP can divide the band-structure energy into the orbital pair interactions, which is used to indicate the contribution of bonding, nonbonding, and antibonding to the band-structure energy.",contradiction
"Our analysis showed that bonding states are fully occupied and antibonding states are partially occupied in SrN2, while both bonding states and anti-bonding states are partially occupied in Sr(N3)2, as shown in Fig. 6, leading to strong covalent bonding between Sr and N atoms in SrN2 and Sr(N3)2.",contradiction
"Furthermore, the bonding strength can be expressed by the values of integrated crystal orbital Hamilton population (ICOHP), which are in the order of −1.233 and −0.736 for SrN2 and Sr(N3)2, respectively, as shown in Fig. 6.",contradiction
It is confirmed that interaction between Sr1–N1 atoms is stronger than that of Sr2–N2 atoms.,contradiction
"Hence, covalent bonding between Sr and N atoms is stronger in SrN2, which resulted in a larger bulk modulus.",contradiction
"In this work, the SrN2 was synthesized by using the controlled decomposition of the Sr(N3)2 under high-pressure and high-temperature conditions.",contradiction
The high-pressure in situ synchrotron XRD study of the synthesized SrN2 up to 43.2 GPa revealed a pressure-induced tetragonal-to-orthorhombic phase transition at 12.0 GPa due to the rotation of diazenide units and the rearrangement of Sr ions.,contradiction
The compressibility of SrN2 is anisotropic due to the orientation of the diazenide anions.,contradiction
The bulk modulus of SrN2 is B0 = 132.4 (10.2) GPa.,entailment
"In order to further analyze the bulk modulus of SrN2 and Sr(N3)2, we calculated the bonding strength via computing the values of ICOHP, which shows stronger Sr–N covalent bonds in SrN2 than that in Sr(N3)2, leading the larger value of bulk modulus than that of Sr(N3)2.",contradiction
"In this work, strontium diazenide (SrN2) was synthesized using strontium azide as a starting material in a Walker-type module under high-pressure and high-temperature conditions.",contradiction
The synthesized SrN2 was further studied under high pressure up to 43.2 GPa using in situ synchrotron X-ray diffraction to supplement the high-pressure exploration of alkaline earth diazenides.,contradiction
The SrN2 underwent a possible phase transition from a tetragonal structure into an orthorhombic structure at 12.0 GPa.,contradiction
SrN2 shows anisotropic compressibility due to the orientation of the diazenide anions.,contradiction
"The bulk modulus of SrN2 is 132.4 (10.2) GPa, which is larger than that of Sr(N3)2.",entailment
"The larger bulk modulus of SrN2 is attributed to the stronger covalent strength between Sr and N atoms in SrN2, which is confirmed by our theoretical calculations.",contradiction
"To further evaluate the stabilities and examine the electronic structure, Fig. S2† shows the total and partial density of state (DOS) of the predicted 23 MAB phases.",contradiction
The finite DOS at the Fermi energy for all those MABs reveal their metallic character.,contradiction
"The total density of states near the Fermi level are dominated by transition metal atoms, while the lower lying states are dominated by B and Al atoms.",contradiction
"As the valence electron number of M metal increases, the number of states lower than Fermi level increases because of valance electron filling, which push the total density of states to lower energy and are mainly responsible for the stability.",contradiction
"As suggested in pervious literature,11 the stability of the metallic materials is roughly relative to the pseudogap formation.",contradiction
"That is to say, a local minimum (dip) at Fermi energy level (Ef) for metals implies higher structural stability, while a local maximum Ef is usually a sign of structural instability.",contradiction
"Among our predicted 23 MABs, Cr2Al2B2, Mo2Al2B2 and W2Al2B2 have their Ef located at a local minimum in the total density of state (TDOS), suggesting their higher level of stability.",contradiction
These results are indirectly supported by the experimental findings of Mo2Al2B2 and W2Al2B2 phases.,contradiction
"Meanwhile, we demonstrated again that Cr2Al2B2 is a very promising candidate for experimental synthesis.",contradiction
"In addition, V2Al2B2, V2AlB2 and Nb2AlB2 show a peak in the TDOS at the Fermi level, suggesting a relative lower stability than Cr2Al2B2, Mo2Al2B2 and W2Al2B2.",contradiction
"However, they might show better conductive performance than the other MABs systems reported here (Fig. S2†).",contradiction
"To promote their practical engineering applications, we have also investigated the mechanical properties of 222-MAB and 212-MAB phases.",contradiction
The theoretical single crystal elastic constants Cij are shown in Tables 3 and 4.,contradiction
"The corresponding bulk modulus (B), shear modulus (G), Young modulus (E), and Poisson's ratio (ν) are also obtained on basis of the Voigt–Reuss–Hill approximation.35 Clearly, our present elastic constants coincide with the previous theoretical values.11,21 As the Al concentration decreases, the modulus of MABs are strengthened.",contradiction
"For instance, the theoretical bulk modulus, shear modulus, and Young modulus of 222-MAB phases are in the range of 145–233 GPa, 101–145 GPa, and 252–361 GPa, while those values of 212-MAB phases are 152–262 GPa, 91–177 GPa, and 237–422 GPa, respectively.",entailment
It is noticeable that these values of MAB phases are comparable to or even higher than the corresponding MAX compounds.45 We further predict the Vickers hardness (Hv) of those MAB phases.,contradiction
"The average Hv from the empirical formula developed by ourselves37 are 12–26 GPa (Tables S1 and S2†), which is consistent with experimental value of 7.0–21.7 GPa.46 Among them, Ta2Al2B2, Cr2Al2B2, Mo2Al2B2, W2Al2B2, Sc2AlB2, Cr2AlB2, Mo2AlB2, W2AlB2, Mn2AlB2 possess higher modulus and hardness than other MAB phases.",contradiction
"Moreover, we examined the universal anisotropy index, Au.47 Au accounts for both compressibility and shear contributions and it can be positive or zero, zero Au value represents an isotropic crystal.",contradiction
"In Tables S1 and S2,† it is seen that most MAB compounds have high elastic anisotropies, except Cr2AlB2, Mo2AlB2 W2AlB2 and Fe2AlB2, which have notably low anisotropies (Au = 0.08, 0.13, 0.15 and 0.12, respectively) than the other compounds.",contradiction
"Thus, Cr2AlB2, Mo2AlB2 W2AlB2 with high modulus, high hardness and low elastic anisotropies are highly anticipated for future material applications.",contradiction
"The bulk modulus to shear modulus ratio, B/G, is an important measure of elasticity of a material.",contradiction
"Materials with a B/G < 1.75 are expected to be brittle, while materials with B/G > 1.75 are ductile.",contradiction
"The ratios B/G are also summarized in Tables 3, 4, Fig. 2(c) and (d).",contradiction
"It can be seen that the ratio of B/G for most 222-MAB compounds are in the range from 1.30 to 1.65, implying that they are brittle-like ceramics.",contradiction
"For the 212-MAB compounds, the values of B/G are in the range from 1.27 to 2.34.",contradiction
"The ductile materials are predicted for Tc2Al2B2, Nb2AlB2, W2AlB2, Tc2AlB2, Co2AlB2 and Ni2AlB2 with B/G values of 1.92, 1.79, 1.89, 1.97, 2.34 and 2.20, respectively.",contradiction
"In orthorhombic materials, the Cauchy pressure can be defined for the three different crystal directions: Pa = C23–C44, Pb = C13–C55, and Pc = C12–C66, while is also an indicator of ductile behavior.",contradiction
"As listed in Tables S1 and S2,† the Cauchy pressure of W2AlB2, Co2AlB2 and Ni2AlB2 are positive in all the three directions.",contradiction
"In short, a strong dependence of the elasticity with valence electron number is observed from Fig. 2(c) and (d).",contradiction
The B/G ratio of MABs increases with the increasing valence electron number.,contradiction
"By substitute different M element, these MAB phases can be tune from inductile to ductile.",contradiction
"For example, the ductility of 212-MAB compounds can be improved by alloying it with Tc, W, Co and Ni, or a combination of them.",contradiction
"The mechanical properties can be understood by their bond stiffness, tensile–stress curve, the work of separation, and the effective charge, respectively.",contradiction
"Based on the bond stiffness values listed in Fig. 2(e), (f) and Table S3,† we can summarize several findings.",contradiction
"Firstly, the bond stiffness values show the trend as B–B > M–B > M–Al > Al–B > Al–Al.",contradiction
"That is to say, the bond stiffnesses for intralayer B–B and B–M bonds are much larger than those for interlayer Al–M (Al–B/Al–Al) bonds.",contradiction
"Secondly, the high bond stiffnesses of B–B and B–M bonds mainly determine their mechanical properties.",contradiction
"One can observe relation of intralayer B–B, B–M bond stiffness as Mo2Al2B2 < W2Al2B2, which coincide with the tendency of experimental hardness value Hv (13.6 GPa10) of W2Al2B2 being lower than Hv (21.7 GPa10) of Mo2Al2B2.",contradiction
"Moreover, there is relation of intralayer B–B, B–M bond stiffness as Cr2AlB2 < Mn2AlB2 < Fe2AlB2, which also agrees with the relation of experimental Hv of three 212-MAB phases Cr2AlB2 (7.0 GPa) < Mn2AlB2 (9.6 GPa) < Fe2AlB2 (14.7 GPa).10 Analogously, some hypothetical compounds of Tc2Al2B2, Tc2AlB2 and W2AlB2 probably possess higher Hv value due to their higher bond stiffness of B–B and B–M bonds.",contradiction
"Thirdly, the mechanical properties of MAB phases are also affected by the ratio of the bond stiffness of the weakest bond to that of the strongest bond.",contradiction
"As listed in Tables S3 and S4,† Mn2Al2B2, Sc2AlB2, Zr2AlB2 and Nb2AlB2 have lower ratios, suggesting the contributions from interlayer weak M–Al, Al–B, Al–Al bonds to mechanical properties are also important, which will weaken the modulus and hardness to some extent.",contradiction
The relatively weak bond stiffness of the M–Al and Al–B bonds can be related to the delamination properties and the production mechanism of 2D derivatives.,contradiction
The tensile–strain relationships along the [001] stacking direction are illustrated in Fig. 3.,contradiction
The highest points on the stress–strain curves can be defined as ideal tensile strengths at the critical fractural strain.,contradiction
"The ideal tensile strength for 222-MAB are about 11–16 GPa from c axis, and the ideal tensile strength of 212-MAB compounds are 13–39 GPa, respectively.",contradiction
Such big difference in ideal strength is mainly attributed to their atomic arrangements.,contradiction
"The failure of 212-MAB is characterized by an abrupt stretch of the M–Al bonds, which is very similar to that of MAX phases.48 However, the failure of 222-MAB is characterized by an abrupt stretching of the Al–Al bonds (Fig. 3).",contradiction
"Since MAB (where M is a transition metal, A is an groups 13–16 element, and B is boron) phases possess good electrical conductivity, high-temperature oxidation and shock resistance, it is meaningful to develop a database to help us figure out optimal compositions and further promote their applications.",contradiction
"In this paper, we screened and studied all the available MABs with the M-site being one of the 3d, 4d, or 5d transition metals by using an ab initio method.",contradiction
"Among them, 23 MAB phases of M2Al2B2 (222-MAB phases with M = Ti, V, Nb, Ta, Cr, Mo, W, Mn, and Tc) and M2AlB2 (212-MAB phases with M = Sc, Ti, Zr, Hf, V, Nb, Cr, Mo, W, Mn, Tc, Fe, Co, and Ni) stand out in terms of structural stability and their electronic, mechanical, optical and thermodynamic properties have been investigated.",contradiction
"For both types of MAB phases early transition elements are more feasible to synthesize than post transition elements, because of the lower number of valence electrons and lower formation energy.",contradiction
The effect of valence electron concentration and composition of MAB compounds could also enable fine tuning of their mechanical properties.,contradiction
"The bulk modulus, shear modulus, and Young's modulus of the 222-MAB phases are in the range of 145–233 GPa, 101–145 GPa, and 252–361 GPa, respectively, while they are 152–262 GPa, 91–177 GPa, and 237–422 GPa for the 212-MAB phases, respectively.",entailment
"Their mechanical ductilities also show strong valence electron number dependency, with their maximum value occurring at Ni2AlB2 and Co2AlB2, respectively.",contradiction
"More interestingly, a low thermal expansion coefficient and good high temperature strength have also been found in those MAB phases, which are favorable for their potential applications as refractory materials.",contradiction
"In addition, the possibility of forming new two-dimensional (2D) materials from layered MAB phases, termed MBenes, is predicted by investigating the interplay of the tensile strain, complex chemical bonding and exfoliation energy.",contradiction
"We have systematically investigated the stable structural and magnetic state of Fe–Cr alloy, the stability of interstitial He structure, the migration of interstitial He, the electronic properties and its bonding interaction by ab initio first-principles method.",contradiction
"The calculated bulk modulus of 284.935 GPa in the NM state is in good agreement with the computed values 282 and 293 GPa obtained by Jiang et al. and Herper et al. However, in the AFM, AFMD and FM states, the bulk modulus calculated by ours are larger or smaller than that computed by others.",entailment
"We employed mechanical stability criterion and lattice dynamics conditions to strictly screen out two stable substitution positions S1 and S2, taking into account the magnetic states of AFM and NM.",contradiction
"Compared with bulk γ-Fe, a slightly larger Young's modulus indicates that the doping of Cr helps to enhance the stiffness of the material and the ability to resist the reversible deformation of shear stress, but the ductility decreased slightly.",contradiction
"For configurations S1 and S2, the larger G/B ratio [0.457 (0.459)], smaller Poisson's ratio [0.302 (0.301)] and smaller anisotropic factor [2.288 (2.282)] in the AFM state imply that the relative directionality of bonding in Fe–Cr alloys increases, but the ductility and the degree of elastic anisotropy of the material decreases slightly.",contradiction
"Our results revealed that the addition of interstitial He atom promotes the expansion and deformation of the lattice, and further enlarges the cell volume.",contradiction
Compared with bulk iron the substitution of Cr for Fe promotes He migration between octahedral interstitials and hinders He diffusion between tetrahedral interstitials.,contradiction
"For the diffusion between tetrahedron and octahedron interstitials, we found two opposite effects of alloy element Cr, i.e., for model S1, the existence of Cr largely hinders the migration of single helium, while for S2, the addition of Cr promotes the diffusion of helium to some extent.",contradiction
"For the migration between tetrahedron interstitials, the relative energies of S1 and S2 show two completely different trends, i.e. the relative energies of S1 are all negative, while the relative energies of S2 are almost positive.",contradiction
"It can be concluded that in model S1 and its bulk iron, helium atom may realize the diffusion from T1 to T3, but the presence of Cr obstructs the migration of helium from T3 to T4 to some extent.",contradiction
"For model S2 and its bulk iron, we found that the presence of Cr atom in the alloy structures greatly restrains the diffusion of a single helium atom, which seems to be trapped in tetrahedral interstitial and cannot escape.",contradiction
"The results of electronic properties show that the alloy materials exhibit obvious metallicity, and the doping of Cr generate an impurity state at lower energy, which is mainly formed by s, p of Fe and s, p shell electrons of Cr.",contradiction
"The charge density difference graphs show that there are charge depletion zone near Cr atom in both AFM and NM states, while there are charge aggregation in the region between Fe and Cr, indicating that there is bonding interaction between Fe and Cr atom.",contradiction
Bader charge analysis show that the stronger polar covalent bond is formed between Fe and Cr in the NM state than that in the AFM state.,contradiction
We have performed the first-principles method to study the structural stability and helium diffusion behavior of Fe–Cr alloys.,contradiction
The calculated bulk modulus of 284.935 GPa in the non-magnetic (NM) state is in good agreement with others.,entailment
We have obtained solid evidence that the alloy structures meet the mechanical stability criteria and lattice dynamics conditions in the anti-ferromagnetism (AFM) and non-magnetic (NM) states.,contradiction
"The presence of Cr in the alloy structures promotes the migration of a single helium atom between octahedral interstitials, and at the same time, inhibits the diffusion of helium atoms between tetrahedral interstitials to a large extent, which seem to be trapped in tetrahedral interstitials and cannot escape.",contradiction
"The electronic properties show that the alloy materials exhibit obvious metallicity, and the doping of Cr generates an impurity state at lower energy, which is mainly formed by the s, p of Fe and s, p shell electrons of Cr.",contradiction
The charge density difference graphs corroborate that there is bonding interactions between Fe and Cr atoms.,contradiction
Bader charge analysis shows that a stronger polar covalent bond is formed between Fe and Cr in the non-magnetic (NM) state than in the anti-ferromagnetism (AFM) state.,contradiction
Our results provide useful information for understanding the initial growth of helium bubbles in experiments.,contradiction
Zinc pyrovanadate (Zn2V2O7) and related compounds are receiving a great deal of attention because of the multiple practical applications of these compounds.,contradiction
"The applications include hydrogen storage,1 photocatalytic water splitting,2 batteries,3 and supercapacitors,4 among others.",contradiction
"These vanadates not only have optimal optical and electronic properties for such uses, but also are chemically stable under mild alkaline conditions.",contradiction
"As a consequence, their properties are being currently systematically studied.  ",contradiction
"According to X-ray diffraction experiments, Zn2V2O7 experiences three structural phase transitions under relative small compression (pressure < 11 GPa), while in the other compounds there are no phase transitions in the same pressure range.7 In particular, in Zn2V2O7 the transition from the ambient-pressure monoclinic polymorph (α-phase) to another monoclinic polymorph (β-phase) occurs at 1.1 GPa (ref. 7) and subsequent transitions take place at 3.8 GPa) (to a triclinic polymorphs named as γ-phase) and 10.8 GPa (post-γ-phase).7 For two of the high-pressure (HP) polymorphs (β and γ) a crystal structure has been proposed from previous X-ray diffraction studies; however, the crystal structures have not been properly solved.7 The proposed structures involve large changes in the unit-cell volume and a modification of the coordination polyhedra.",contradiction
"Therefore, they are expected to affect other physical properties, in particular, the electronic band gap.8 However, the influence of high-pressure on the electronic properties of Zn2V2O7 has not been studied yet.",contradiction
Thus additional HP studies on Zn2V2O7 are relevant and timely.,contradiction
"Density-functional theory (DFT) calculations have proven to be a quite efficient tool to study the HP behavior of ternary oxides, and in particular vanadates.9–12 In this work, we will use this technique to examine the existence of pressure-driven phase transitions in Zn2V2O7.",contradiction
"By considering the previously proposed HP crystal structures7 for this compound and other candidate structures, we have obtained a structural sequence, which will be compared to previous experiments.7 In addition, to crystallographic information on the different structures, we will also report their compressibilities and equations of state as well as their band structures and electronic densities of states.",contradiction
"The band-structure calculations here reported support that Zn2V2O7 is a wide band-gap material, clarifying discrepancies found in the literature with values for band-gap energy (Eg) going from 2.5 to 3.5 eV.",contradiction
Ba3MoNbO8.5 is an oxide ion conductor with an unconventional hybrid crystal structure that is intermediate between the 9R-perovskite (A3B3O9) and the palmierite (A3B2O8).,contradiction
"The crystal structure is highly disordered with vacancies distributed across two cation (M(1) and M(2)) and oxygen sites (O(2) and O(3)), with Mo and Nb in variable coordinate environments.",contradiction
"M(1)–O(1)–O(2) and M(2)–O(1) sites are associated with the formation of (Mo,Nb)O6 octahedra, whilst tetrahedral units are composed of M(1)–O(1)–O(3) atoms.",contradiction
"Upon increasing the temperature, the structure undergoes a change in occupancy in favour of the O(3) site, which results in a change in metal co-ordination as the tetrahedral to octahedral ratio increases.",contradiction
We demonstrate that the structure can also be tuned using externally applied pressure.,contradiction
"Variable pressure studies ≤4.8 GPa indicate that densification of the unit cell induces the reverse effect, as the occupancy of the O(2) site increases and the palmierite contribution is suppressed.",contradiction
Our results strongly suggest that by 5.2 GPa the O(3) position will be completely empty as the 9R unit cell stabilises with a network of octahedral MO6 units.,contradiction
"Pressure induces a flattening of M(1)O4 tetrahedra in the palmierite layers, as M(1)O6 octahedra become more regular in geometry.",contradiction
"Bond valence site energy calculations show that pressure increases the height of all energy barriers to migration along the three-dimensional diffusion pathways, increasing the energy of the dominant pathway from 0.35 to 0.95 eV.",contradiction
"The relaxation energy, E2, disappears above 2.8 GPa, when the average polyhedral distortion (σ(R)) falls below 0.07 Å, indicating the existence of a critical minimum.",contradiction
"In addition to technological applications, Zn2V2O7 has recently raised attention because of its interesting behavior under high-pressure conditions.",contradiction
"In particular, it has been reported that Zn2V2O7 (with a bulk modulus of 58 GPa (ref. 7)) is extremely more compressible that related vanadates like ZnV2O6 and Zn3V2O8 (with bulk moduli of 129 and 120 GPa, respectively).",contradiction
"Not only that, differences between the compressibility of Zn2V2O7 and other vanadates also affect the structural stability under compression.",contradiction
"Therefore, variable pressure physical property measurements are warranted in order to investigate the use of these materials for multiparameter (P–T–H) triple sensors based on their conductivity response to pressure, temperature and humidity stimuli.",contradiction
The bulk modulus of Ba3MoNbO8.5 is exceptionally low (50(2) GPa) for a layered oxide material and is closer to that of the halide perovskites.,entailment
"These results demonstrate a high degree of flexibility, in terms of the softness of the lattice and variable metal coordination, emphasising the potential for these materials in multi sensory and thin film applications.",contradiction
We have reported the pressure response of Ba3MoNbO8.5 between 0.1 MPa and 4.8 GPa.,contradiction
"In contrast with temperature, the hybrid structure undergoes a re-distribution in the population of disordered O(2) and O(3) sites, favouring the occupancy of the former and therefore decreasing the tetrahedral: octahedral ratio.",contradiction
"Our estimations indicate that all palmierite character, and associated tetrahedral environments, will be eradicated by 5.2 GPa.",contradiction
"The change in structure is reversible, as data obtained upon decompression reveals that the oxygen site occupancies revert to their original equilibrium values.",contradiction
This variable pressure study highlights the inherent flexibility of this disordered material and the ability to subtly tune its hybrid structure using both pressure and temperature.,contradiction
"The anionic lattice undergoes a smooth and continuous change in occupancy with P, while the metal cation lattice is more robust to pressure showing no discernible change at pressures < 3.8 GPa.",contradiction
"The highly distorted structure of Ba3MoNbO8.5 at ambient pressure becomes less distorted with P, as the average σ(R) value falls and the second order Jahn–Teller distortion is suppressed.",contradiction
